Country,With_Bank_Account_Female,With_Bank_Account_Male ,Upper2ndary_Educ_Female,Upper2ndary_Educ_Male,With_Job_Female_Tot,With_Job_Male_Tot,With_Job_Female_Rural,With_Job_Male_Rural,With_Job_Female_Urban,With_Job_Male_Urban
Benin,28.59,48.62,,,69.6992,74.3758,73.2847,77.953,65.2832,70.0858
Burkina_Faso,34.5,51.28,1.57192,4.29634,58.2901,74.6037,59.294,76.6422,55.143,69.1376
Cameroon,30.03,39.24,11.47701,25.39947,67.1926,77.5023,73.887,80.0758,58.3866,74.4408
Central African Republic,,,,,,,,,,
Chad,14.85,29.03,,,,,,,,
Cote_d_Ivoire,35.56,46.6,6.94469,15.25335,46.224,65.5942,51.7943,76.5041,46.224,65.5942
Djibouti,8.76,16.63,,,,,,,,
Egypt,26.99,38.65,,,21.9802,66.8729,22.2025,68.4599,21.6936,64.7857
Eritrea,,,,,,,,,,
Ethiopia,29.08,40.94,5.65992,12.68877,74.63,85,78.59,87.83,60.51,73.26
Gambia,,,,,,,,,,
Ghana,53.72,61.79,14.6786,27.24011,55.3034,58.8385,50.2915,53.0901,59.5333,64.0534
Guinea,,,,,,,,,,
Guinea_Bissau,19.67,27.26,,,62.8091,66.3914,70.1343,73.2745,45.1792,54.5137
Iraq,19.5,25.82,23.94748,34.38337,11.18,72.42,6.94,73.6,12.66,71.99
Kenya,77.75,85.84,18.00121,25.71248,71.4595,77.5,73.8154,75.6792,67.6357,80.146
Liberia,28.16,43.66,,,72.1565,82.3102,83.5901,91.1484,62.8242,74.7037
Mali,25.71,45.46,3.2433,8.22355,55.13,81.43,58.86,83.9,45.9,75.29
Maldives,,,,,,,,,,
Mauritania,15.49,26.29,,,28.0331,62.7963,29.3831,62.641,26.278,62.9576
Niger,10.91,19.94,1.98776,4.99652,62.9708,85.9826,68.0438,90.0177,40.1306,70.2561
Nigeria,27.28,51.41,,,48.5764,56.355,48.1496,57.964,49.2125,53.9735
Senegal,38.45,46.72,5.00873,17.26285,34.5028,58.0101,33.4241,61.7992,35.535,54.6318
Sierra_Leone,15.36,24.77,,,56.342,57.6456,46.3416,49.3178,61.707,62.4084
Somalia,33.66,43.57,,,,,,,,
Sudan,9.98,20.22,,,28.3308,70.056,30.2605,72.6312,25.3463,65.9186
Togo,37.59,53.05,3.03632,17.39877,61.2361,49.3811,68.645,53.1694,52.819,44.9683
Uganda,52.71,66.08,6.34869,13.92241,44.95,61.84,39.33,56.55,59.88,76.71
United_Republic_of_Tanzania,42.15,51.55,2.28588,4.62521,80.1317,88.1224,85.6281,90.9782,71.7292,83.4374
Yemen,1.67,11.39,,,6.0374,65.4076,5.4277,65.1133,8.2372,66.458
